c2,c0,729,129,229,ff9a,
2945808,13699151,6580595,4269262,2219165,414975,
1809330,8564386,4730517,3035118,1624619,73312,
3870146,19264871,9791054,6227425,3408163,435981,
951285,4534628,2294020,1504046,747994,56645,
1627159,8273591,4609782,2952350,1602832,98672,
3611217,17495242,8697107,5652601,2935157,424245,
1770243,8925292,4852123,3064389,1705937,98187,
5968460,31629985,16579194,10692985,5683672,404632,
58619282,312260668,134159573,97422919,33444652,1197400,
78841680,427421984,195293803,136827222,53935294,1086514,
36662475,194078386,103880121,68862750,33157520,1569657,
22626371,123124889,62393543,40342979,20566461,585715,
3205914,12906868,4728296,3172318,1460226,156895,
3911310,16159625,5522981,3808593,1629086,505281,
15031,63120,40353,25029,13990,6092,
48263,260433,115170,68351,44466,9277,
58993,273470,165724,99497,62106,14102,
260391,1079030,461933,298017,152698,19812,
7570,39766,29610,17029,11777,22381,
230794,979525,570431,358517,191658,25538,
404342,1981438,1207238,788467,403432,85785,
382277,1818913,1065593,667577,394016,64899,
398144,1958330,1044707,661468,364129,15595,
141034,563080,192248,127738,61106,10836,
33481,156656,101741,61612,37104,9798,
165,813,558,374,172,2305,
725710,3273778,1805134,1124883,636620,62918,
878256,4365249,2605694,1599460,964803,53182,
1407440,7234587,3947950,2519023,1359558,194326,
3679508,17551259,8927587,5829055,2974817,499508,
258306,1178435,728816,454468,250605,12721,
1068178,5270653,2325619,1507244,806996,327404,
659775,2536474,882426,662642,199842,10915,
764972,3300645,1616504,1018944,562472,70757,
30785,136542,77062,49261,26351,5913,
0,0,0,0,0,2601,
68512,313568,196767,121507,71257,14072,
919380,3692952,1314210,896882,391733,43881,
4171571,16295363,5048385,3523009,1413183,62502,
48919,212385,119748,77417,38843,8497,
318246,1427906,836270,519570,293542,29657,
56564,252157,149999,95835,50404,7971,
78908,338294,236157,155794,77096,9088,
7354,35221,25996,15666,9784,8239,
140815,645479,387262,243906,135566,9535,
102767,473707,275034,172723,96814,6469,
168847,778971,450219,279091,161703,14329,
372104,1704313,936529,586172,330757,16639,
230085,1053069,580014,361517,206719,19097,
365091,1674508,933938,586440,327698,23250,
393,1759,1238,915,305,4074,
31324,142198,83367,53022,28920,8651,
28302,126843,66742,43175,22495,4360,
1649209,7396239,4145298,2573105,1497975,140393,
2372348,12613897,7095122,4434754,2562121,244438,
1365837,7525966,4226886,2677368,1490033,426322,
3296387,14197514,5433212,3732922,1623848,342556,
2865346,13032419,4757189,3009741,1677733,146081,
2175593,10019226,5050613,3475798,1515630,188506,
99219,434843,233740,163664,66334,15220,
256,1499,1232,701,506,5735,
126206,536003,244646,159234,82179,26305,
3376658,17152419,9488607,6841975,2510387,155569,
1962942,9711207,5660076,3411713,2150477,272804,
2067939,10628558,5956099,3843178,2021252,162558,
9049312,45269514,22965559,14614262,7978298,293350,
13978023,67766248,34079371,22244408,11302112,458938,
11417640,52825271,26510192,17759113,8454317,696234,
5461749,24379301,12206746,8382798,3693334,119866,
10524669,45825121,20072760,13330202,6511511,211966,
13528396,68432822,29411295,19996322,8893950,524931,
8008840,56221480,21925812,15137552,6137613,74698,
11180851,49301223,22691000,15089450,7332551,229090,
16813204,96567416,39402100,26877849,11581245,450514,
7151044,39125743,16695483,11034992,5284640,194626,
7676419,35981734,17831271,11926352,5702761,497490,
22271945,126037538,51417133,35028259,15198452,267873,
12670057,57404109,28997640,20394467,8483582,108749,
8313557,44342821,19522605,13371006,5814878,474446,
22856538,127643555,53657393,35694500,16957656,449443,
10068657,66835246,25838213,16163295,9379940,443442,
5465893,32997959,13857743,9358886,4213547,536856,
16489029,92934654,39718295,27033679,11794581,252623,
8152226,42301099,18793736,12670063,5832067,412491,
9784815,63390710,25905114,17695814,7542398,132141,
6481743,28902193,13404465,9001111,4225632,94843,
1472167,7107408,3502010,2306262,1135094,31869,
3560310,16390762,8260314,5595938,2558931,50840,
1389273,6298142,3240310,2200876,997915,35218,
303205,1459795,717645,493870,230459,18390,
1114828,4995103,2603412,1753346,799041,30700,
312128,1519331,733624,502348,221566,11595,
2346056,13633811,5559339,3675993,1833574,60301,
7415761,49791704,19345308,11796307,7350504,347329,
1882837,9448695,5215689,3302582,1850932,102040,
1716542,8708574,4733083,2997102,1676362,176162,
6614608,44465435,15734707,10567861,4562944,368048,
1326880,6531977,3557731,2267448,1243076,60107,
650223,3075553,1531339,1025307,483143,29690,
1011666,6278976,3543230,2106193,1422303,228627,
2321024,10390947,4428848,3000543,1343616,69921,
567296,2693828,1285394,870962,398598,19048,
2146847,10528165,4649593,3017327,1583788,203734,
630127,2987772,1461160,979492,460887,28099,
986686,5220313,2688328,1691187,968627,29311,
2258513,11052999,5003609,3243853,1701514,199200,
572712,2712617,1304265,883391,405076,18193,
590995,3324802,1869552,1119312,722642,32063,
2265056,10457497,4461053,3021386,1384311,200821,
900009,4716489,2704758,1656100,1010968,89405,
1259249,6995163,3777818,2312090,1410556,116171,
2141892,9417938,3794798,2658870,1090533,142315,
872657,4543366,2481724,1507977,931240,42553,
3099014,14288381,6648799,4514369,2056368,331713,
2013662,9757133,5046673,3169733,1786414,121897,
1202608,6095066,3430098,2142586,1230918,55064,
2501014,11637192,5109455,3449657,1604400,330987,
1249197,6189139,3298478,2038114,1207903,70226,
1251122,6651049,3508453,2175346,1282671,185815,
3321384,14847255,6761355,4599389,2087115,155048,
1183539,5897588,3044343,1873268,1103993,50113,
2496024,11471724,4866545,3286872,1526473,242166,
984859,5015149,2613393,1597603,969748,50717,
745355,3997169,2091733,1332087,748234,89756,
2337089,10983613,4691373,3145085,1502768,146781,
788358,4244574,2274641,1380746,845530,29970,
567367,2693668,1279591,867074,397149,13352,
579791,3275621,1789631,1067516,696348,22987,
625104,2962185,1440213,966208,453548,18200,
1003604,5291658,2813027,1770150,1013140,25973,
929793,4829570,2533327,1577108,916853,28962,
570348,2711204,1282010,870051,400557,14875,
4198615,19638271,8508003,5491537,2892603,263678,
876609,4038500,2026585,1345080,648072,38217,
920463,5543334,3048353,1791009,1224386,146811,
3576084,15992278,7336025,4847840,2364763,164559,
578256,2747738,1367251,923201,426754,20579,
2194372,10765618,4915752,3179246,1673033,274758,
626981,2971904,1505081,1007994,474710,25318,
841872,4551654,2481275,1552363,913172,23808,
1108419,5759234,3290643,2033824,1195627,80081,
567062,2692270,1289735,873654,400135,12079,
592285,3329762,1866203,1115190,723043,20011,
652387,3065623,1513338,1013026,479140,19767,
841254,4548443,2375053,1485672,876944,17277,
2655951,12686882,5727154,3728336,1904714,279540,
570086,2706980,1296771,878138,402841,12101,
601580,3442569,1896908,1128602,742258,37305,
2179183,10084318,4222496,2872516,1306071,207162,
828174,4489719,2336227,1457956,866237,24272,
2405223,11729533,5192396,3373683,1746463,198725,
570446,2709073,1297835,878215,403708,13785,
584372,3297811,1777014,1059301,692020,20912,
2221012,10345041,4359826,2961695,1355483,186330,
940660,4994127,2561478,1609951,936242,27238,
1661021,8217180,4338061,2669547,1576154,137113,
2426131,11011244,4692516,3186496,1444893,198048,
951567,4858064,2619814,1601049,973379,49614,
2517043,11564227,4977581,3365549,1551951,230883,
2409738,11641743,6086677,4002311,2001917,185026,
1260694,6191858,3326230,2077932,1191527,73460,
2533100,11743669,5050656,3396749,1596480,305786,
1192463,5888760,3038177,1876178,1115295,48662,
1227513,6527070,3413199,2124403,1241508,185799,
2530733,11129578,4650035,3170359,1419048,95107,
2181572,10455065,5635269,3512830,2002882,116168,
2512900,11562085,4882576,3301027,1528739,256604,
957009,4894305,2678133,1638062,993919,48132,
1177241,6025732,3071876,1938504,1099800,127675,
3596382,16706557,8147561,5442673,2604280,238010,
1958578,12233125,5087104,3343966,1680403,101767,
6863750,31304407,13882233,9026755,4658959,402373,
2471406,12611236,7539885,4793075,2680369,112936,
3714815,15703825,6121907,4073254,1954764,54921,
3719289,18442393,8774390,5670993,3008192,341752,
1974580,9445266,5017533,3208089,1739225,76178,
3421636,17422113,9632506,6014066,3470861,255767,
4017301,19121644,9716723,6374869,3240507,305461,
1288846,6232075,3214281,2074308,1084664,52755,
3693632,18313564,9301473,6019104,3205518,305030,
1996076,9849539,5400277,3476177,1860301,88668,
2409822,12188836,6573145,4162348,2325925,98132,
5976905,28472817,14134452,9293351,4707441,335095,
5442574,49115598,14809522,8253254,6355225,427862,
2443527,11852112,5972439,3917063,2033576,426654,
2541791,12256884,6219722,4035660,2113119,119397,
1128501,5268088,2548182,1674477,829516,27471,
3195357,15147043,7225378,4765679,2404041,290128,
1170057,5407114,2606897,1729478,840529,48017,
587782,3070233,1560056,1007915,541257,66274,
2221973,9797557,4089510,2812368,1232602,161272,
295975,1443511,696842,478343,209338,12830,
1835042,8335227,3494646,2365335,1096085,171981,
333146,1610084,809791,550428,247157,18353,
110,520,292,163,106,3639,
73119,361073,179262,107888,66174,18811,
674464,3000607,1512589,946679,524273,73320,
5215,25566,17617,11200,6066,6378,
2764307,14716494,8258737,5073954,3088545,247529,
2545878,10929681,5095426,3504918,1544771,82447,
882703,4435223,2697767,1733297,959353,64826,
514198,2421833,1454437,938717,496766,8910,
22431,119091,72811,41891,29189,7811,
3115,14497,10414,6492,3747,5026,
10922770,62192751,27080002,17340175,9363324,574067,
22223331,108886187,54279925,36106778,17508285,733506,
21315444,107290571,46197855,34543405,11328169,329073,
28885033,153749575,63050088,43019572,18932956,932754,
21967998,118443639,55574891,36023021,18897312,581874,
16803415,78526995,33806640,22372491,11087357,254305,
4499182,22446575,10383121,6870881,3335265,563738,
2333853,12949384,6256115,3961490,2198512,90119,
13888666,63849853,31292417,20743520,10250901,556738,
13887951,71411650,29004093,19513297,8642377,224213,
2247263,12516559,6356372,3956408,2327056,122151,
7716386,35714760,17502450,11867490,5442808,480122,
15824937,70949023,30012684,20060695,9601163,144409,
5687590,27752355,12812022,8080311,4504412,196225,
6009747,29433242,13490732,8938197,4363410,523509,
15745410,70352146,30897310,20672095,9878825,188858,
4103990,19799070,8752281,5693787,2947587,370392,
809608,3610532,1580493,1097843,458087,27078,
10382512,44041552,20295599,13836929,6256000,100103,
10133250,45686974,18673363,12521090,5918759,315887,
2459704,12442037,5899857,3990961,1840460,108511,
799639,3921546,2154103,1357137,760382,83060,
11818973,61073763,27971423,18048304,9533866,359892,
6566584,47281224,17269548,10076999,6873871,312182,
1910341,8899503,4527523,3096230,1387549,30559,
1055195,5136228,3030172,1943858,1056685,125802,
8608957,38108404,18422766,12724959,5521348,516045,
1930836,9229533,4444314,2893920,1474308,42708,
14022,71482,46426,26423,18620,7624,
22159,100048,62496,39156,22035,6768,
31145,137208,84272,57397,30560,13557,
525378,2440304,1177184,824563,338957,12272,
10381,46327,32885,19748,12734,5358,
3616704,17154277,9084703,5948904,3055801,165433,
6389600,30285543,15514351,10301189,5035685,257464,
8414742,43765666,16921035,11346399,4974305,426348,
1725994,7896747,2478311,1628772,795391,65635,
36373,133187,72749,45267,27226,7823,
123627,570380,371038,228594,130412,33351,
23196,88090,52255,33317,18611,8469,
161189,685797,485174,339739,140174,15850,
10682,47988,35095,21712,12662,6767,
3880,15450,10175,6616,3511,3542,
7554,35718,26319,16445,9593,4795,
4092408,17787258,8749630,6019141,2645759,74033,
13462,62868,45890,27310,18633,7938,
263987,1141596,447748,319453,124328,11677,
372,1872,1220,686,442,3445,
0,0,0,0,0,1803,
1641,7646,4935,3021,1807,3069,
2765,10997,7421,4887,2465,2841,
48795,261809,116710,69396,44817,7387,
0,0,0,0,0,3538,
861297,3993924,2271451,1446811,800703,71368,
8354035,38570686,19387907,12931741,6271420,201051,
4693446,23945789,11898768,7668216,4107979,89534,
1866051,9632831,5386555,3452070,1867964,319367,
3570719,21421385,8011780,5511592,2023067,248257,
769187,3948524,2475439,1540008,881118,110608,
1826681,8306292,3526375,2399788,1089407,264857,
2150880,9792731,5030027,3296335,1708244,82052,
5862260,25393783,11006668,7252150,3625616,173652,
2042158,9211419,3981010,2683171,1221457,232518,
1475753,7363551,4381283,2790958,1555775,44701,
72528,371235,192270,115178,72206,10493,
1219738,6119276,3579357,2291778,1267518,17232,
1708768,8332396,4771805,3099562,1643275,63841,
385027,2033496,1080566,655279,399955,28615,
1396249,7036212,4022186,2552168,1438722,31144,
288626,1477111,755480,452652,284678,28897,
1540445,7728266,4340592,2746102,1555522,28798,
1637763,8232229,4718326,3003395,1684088,32218,
708190,3586068,1883115,1137209,700808,29871,
1898711,9508116,5381145,3394831,1932737,35148,
1594947,7347017,3601813,2230665,1277649,95955,
1695911,8575133,4883870,3077429,1755819,30616,
1886363,9266342,5190801,3349584,1804703,41044,
640690,3221110,1638950,983906,609217,24038,
1602771,8017950,4490764,2823893,1614395,34076,
877601,4421107,2384693,1431129,888582,57516,
1786015,9017178,5151060,3231643,1862343,32415,
963920,4941828,2783413,1739291,1018020,31371,
851889,4238623,2372367,1495699,846466,11667,
1108365,5503974,3355914,2163236,1177804,17620,
759,3789,2286,1306,815,5472,
48853,223162,114102,69419,42258,7369,
30791,148301,93969,56346,34784,8627,
372,1872,1225,694,446,3923,
0,0,0,0,0,2749,
115339,457566,168888,112380,54166,9447,
760568,3004596,1002962,678427,309563,12487,
15012,61105,38182,23603,13215,5460,
0,0,0,0,0,3701,
8156,39310,24711,15744,8508,6757,
657758,2929985,1454189,912911,502211,23117,
593903,2819633,1408322,949801,439559,45168,
325729,2372183,1396896,813339,578629,181473,
1527319,5872258,1958513,1487810,446593,224283,
0,0,0,0,0,3854,
2977,13896,9543,6210,3039,4286,
302690,1231461,458892,297147,151867,18415,
1620382,6465246,2151525,1443878,675345,11894,
109794,434654,153651,102375,49388,8675,
105063,597522,428554,261250,177912,22997,
646923,3061558,1738370,1080507,604317,36725,
4466038,22770373,11306691,7294630,3904157,172659,
704981,4055115,2157666,1336311,803447,167914,
1333587,5110280,1692386,1312328,360175,170368,
55285,302250,209531,119931,84510,7499,
1943,9131,6098,3699,2284,4092,
2026,9618,5811,3250,2316,2738,
47480,253807,110619,65674,42672,6611,
124454,499172,184322,122667,58692,11216,
143256,572727,198502,132346,63614,7598,
89819,462429,186258,110340,74587,32287,
5515890,26813478,14266231,9199432,4943411,207364,
1010279,5614785,3072927,1901690,1130048,254171,
3004788,17279744,6290261,4380721,1528841,195570,
42083,226099,156983,91325,62162,10812,
2641,12248,8546,5316,3031,5822,
755731,3751254,2217285,1444163,739691,38681,
32206,165352,104336,61766,39960,8951,
2625,14306,11335,6327,4783,5853,
288040,1384532,762420,468259,268831,38872,
748,3778,2218,1244,821,5039,
7493,35381,25529,16204,9095,4290,
6595,34751,24124,14322,9188,7901,
372,1872,1192,686,422,3791,
3231,13559,8123,4719,3188,5107,
1641,7644,5564,3454,2001,4216,
91,461,259,148,94,3172,
0,0,0,0,0,2067,
4559,25305,20548,12164,7979,4708,
52375,242138,166004,104908,53896,18357,
52161,269256,170507,101922,59667,11602,
4059669,19252955,9934915,6476816,3390751,141599,
1585422,8139007,4588758,2912394,1603690,73796,
525072,2518740,1389703,846515,505412,58556,
3316173,17167877,8020768,5347000,2531820,385236,
842284,5968085,2209045,1462355,566512,20433,
1147484,5618564,3394427,2178013,1195896,29423,
612206,3069543,1859858,1210599,657198,10643,
456973,2244978,1267793,811208,437661,9419,
26965,141527,91524,52671,36573,11121,
996,5229,3400,1909,1294,6691,
28925,142200,96112,56882,37117,10360,
6594,34750,23829,14053,9189,8072,
1370,5468,3682,2209,1387,3802,
0,0,0,0,0,1749,
3115,14497,11517,7313,3990,4388,
3023,11065,6942,4227,2686,2690,
6755,24352,13202,8121,5053,2238,
2856,10325,5631,3452,2167,2606,
9192,42459,26066,16268,9246,7731,
4005802,20605117,10284607,6582043,3599299,136823,
1046980,4818155,2385714,1547857,799039,73682,
598552,3682312,2131109,1281219,822925,176299,
1325831,5075020,1673713,1298560,354884,179949,
1937,9165,5693,3204,2253,2683,
47166,189098,76511,50921,24656,7716,
95,475,251,147,87,2295,
644826,3146923,1869892,1204322,631227,69985,
3671,13287,9571,5817,3737,3914,
3074,11348,7031,4255,2725,4133,
740,3730,2278,1281,829,5095,
15128,68117,42579,26502,17259,6592,
266269,1152099,454236,323788,126105,15734,
4953,18604,11095,7032,3977,2993,
272328,1082143,383275,254701,122253,8760,
1848110,7353677,2335466,1575952,720031,11191,
10174,37403,21422,13751,7620,3061,
324646,1351195,481327,313977,159089,9476,
34,130,96,64,28,3600,
5383,26233,16769,10669,5755,4092,
748,3758,2266,1295,818,3747,
4516,25059,17214,10061,6812,5114,
5442876,26659562,14323453,9225852,4973817,252858,
604333,2866153,1461905,978078,463736,46270,
756460,5265350,2529910,1554053,955142,184025,
2705722,14514197,5316835,3733007,1334735,262799,
107982,509845,261913,158637,96907,11447,
872028,4181610,2353921,1540028,780765,41212,
165,813,597,439,142,3791,
159411,673068,316641,202054,106881,20154,
158686,629439,221636,147160,71486,11947,
23414,116925,73640,42110,29178,6304,
14021,69809,48673,29831,18015,8018,
372,1872,1108,630,397,3415,
5795,21105,13861,8664,4242,6130,
2624,12103,8456,5242,3006,5162,
75720,301061,102057,68757,31773,4964,
4331,17533,11192,6887,3887,3940,
0,0,0,0,0,2057,
5077,24808,15866,10001,5565,3863,
162884,643382,219788,150069,65327,7397,
49515,197217,69765,46824,22130,3905,
0,0,0,0,0,3442,
4665734,22604282,11878147,7658040,4106309,162081,
1003208,4864761,2659853,1755680,881755,43356,
3726,17075,12470,7720,4546,6135,
454809,1894636,747879,479172,253951,12824,
1851872,7388476,2411021,1618545,753928,12604,
2573,13110,13099,7597,5311,5232,
6309,30268,19435,11175,7813,6440,
4060576,21113253,10426798,6679647,3651705,63190,
55520,268294,169497,102132,63163,8008,
763496,3549633,1700102,1127057,549270,28418,
7744,36668,26076,16303,9474,4722,
2537,11772,7446,4489,2725,5052,
48844,194633,73251,48595,23625,5700,
2052,7634,7094,4169,2898,4972,
30211,120218,43581,29324,13729,3672,
48136,191182,64337,43322,20009,3135,
5245,25679,17907,11336,6225,4001,
56316,228789,88929,58513,29140,7236,
340798,1349881,463352,309025,148412,6098,
1273,6612,6290,3415,2773,3403,
4682018,22613788,11630351,7539436,4030334,78148,
729099,3876049,2322252,1448161,818537,72238,
3038371,15349583,6349734,4384234,1793482,387590,
351656,2370114,921660,585291,265929,14896,
368159,2142667,1230768,777722,445006,80585,
2664900,13522579,5304378,3711613,1417814,152413,
3327,16345,11196,6911,4024,4643,
1042,5217,3131,1795,1163,5248,
127300,561868,232070,139157,90881,21592,
276516,1200926,483475,340077,139824,18452,
8000,38167,26669,16783,9562,14000,
3231,13559,7973,4651,3116,5868,
1641,7644,6048,3718,2203,3933,
6348,23206,15618,9521,6054,3259,
51186,264668,121081,72078,46718,6687,
4559,25305,19791,11747,7641,5323,
52184,234231,158029,97850,54272,18960,
4529,17657,10895,6622,4095,5255,
27795,109266,37358,25746,11042,3354,
244856,1212286,791077,507081,273720,59428,
659484,3150749,1779896,1123501,633599,69840,
5233363,26069672,14619971,9644386,4831007,186528,
609694,2867110,1429533,963662,448055,42454,
1594328,8623779,4946199,3173870,1722380,211189,
1897046,9107199,3158222,2297668,714728,202066,
7047,32179,23976,14760,8903,6092,
10637,56628,37949,21523,15296,4820,
717020,2810728,915398,616522,286510,14577,
12152,55983,40937,23950,15971,8270,
6967,36818,25547,15072,9843,9229,
2420,13384,8880,4950,3712,4469,
455460,1801556,630385,421811,201436,9208,
1641,7646,5665,3474,2072,3946,
2164767,9880986,5580859,3637335,1810295,117234,
5165210,23887472,15293215,9854006,4921189,81859,
15174326,69489813,42098821,27453368,13219767,186824,
12900939,68146904,32414760,21827824,9740731,294419,
13247829,84197048,33099760,23758471,9188537,573067,
15281977,89547323,34306605,24860367,8892886,589244,
19225466,120897052,44311645,32858846,11072022,508086,
12543830,88434351,29872643,23228983,6605031,239912,
16902288,108408847,41129370,30452311,10534756,636798,
12175842,78674528,28088918,21224095,6755969,633245,
11963773,84496715,29349673,22771018,6533872,328062,
14221241,104963014,31544224,25033855,6464880,383001,
15845660,110170075,34268714,26794801,7306348,649104,
13373216,80403672,32406939,23303043,9021755,294613,
46539526,226383693,111711501,72506798,38143878,678704,
22216109,99852749,46130566,27832415,18142908,326098,
11926792,58127422,30096791,17993534,11717320,563575,
23851304,116265355,59493390,38299208,19378370,784655,
18539123,89929746,47353084,31027872,15365281,397736,
17208698,77922079,44843901,30002505,13364564,299968,
23307726,109175953,59146835,38747099,18648473,491079,
15317422,69477126,42431126,28937123,11444612,444336,
11189366,47091818,32180968,21992305,9124465,207851,
13217453,58332135,36826899,24977253,10613390,369969,
12638405,52669417,36063882,24581697,10195474,137103,
12950652,56088173,37387775,25189332,10846846,185426,
13405196,61201302,34573792,22669330,10898190,318796,
10969500,51209997,34264012,22150118,10785568,109749,
17652716,83356749,49511258,31893889,15593514,251880,
17988011,86390533,51385916,33049391,15832888,216769,
17830074,85677732,50427470,32693894,15095233,44268,
11996349,53505799,31209758,20599838,9383595,464944,
15175059,70067456,40427264,27113000,11604975,535530,
17072616,81738945,47937602,31259289,14162855,79375,
17316354,82892974,48763921,31794500,14374172,42839,
15318960,73029490,44295788,28662538,13249107,76776,
13722693,64112783,39125046,25466266,11819478,108888,
13103790,61934155,40539744,26283916,12317397,68408,
13471405,64194288,39163518,25404236,11959134,79661,
14307490,68726704,43231544,28277002,12858406,64554,
13866267,66019786,40836104,26501982,12250388,73562,
14134448,66436074,41968760,27161096,12717115,81197,
13836185,64577525,39492680,25685087,12072209,67898,
12723643,58084089,37640912,24656095,11601124,80810,
11218614,52619083,33861181,21801343,10621055,95115,
15782224,75194929,46852413,30277856,14010844,37480,
14713605,69985911,41759630,27119975,12591747,157669,
13828035,66385426,41800782,27046397,12745776,79186,
7529624,32287413,18749224,12742864,5426766,444640,
12160295,49448217,26635738,18773395,7738759,833310,
10498494,50273726,29903685,19682679,8801735,336936,
16369288,78340161,47500565,30829206,14261608,220834,
16321172,77281893,44157851,28728788,13387188,542447,
14439129,68795476,42408772,27354006,13017531,72538,
14320257,67448445,41210924,26753482,13072084,233785,
14269581,68185597,41342083,26619092,13071273,283033,
18794199,92230713,52430539,33245757,17422050,275622,
24140011,125297428,66903641,43747588,21162785,285499,
30085623,156984922,78155987,51094196,24888672,243195,
63806871,321212046,175078341,121680319,49732460,323254,
20795358,99688921,54525553,36230873,16396650,317981,
12982314,60830847,38121230,24638512,11639881,100226,
15548508,75412193,45538537,29525668,13298397,40678,
11864746,54469626,35464356,23100626,10983034,129667,
12012155,55669014,35994206,23564643,10968305,108792,
15586987,73565573,44171707,28862374,13122108,95751,
13337195,62716449,40009418,26010644,12184422,85678,
14494941,67542528,41363601,27220890,12527375,114159,
6833152,32473397,20431259,13305477,6201181,247382,
11559995,47392943,26330349,18130501,8081393,1039973,
9160729,34385806,18332114,13380013,4919937,866575,
3787130,15606144,8646517,6692367,1881900,570466,
11291566,53798164,32932376,21377729,10179488,594660,
13867134,67112774,42006559,26931044,12856014,91823,
32767335,166842767,85390332,55345964,27885951,870784,
93757505,496153294,227215740,160746864,59806067,1279233,
66282366,350811693,167392505,116149048,46940296,1183692,
66360538,347912576,195575140,127934909,62507270,1715918,
12179198,60970328,34354241,22783461,10647133,292884,
11738652,56253345,33790177,22135384,10371903,238866,
32504857,158741205,89046671,59338041,27493461,521879,
14992644,70029044,43681296,28457773,13526767,184801,
11958595,55858822,36161853,23333450,11378206,139358,
12595324,59236426,38453427,25253253,11732641,315332,
14905543,73582116,39615799,25963132,11507200,414200,
15483739,70174367,39415291,26045569,12150171,252104,
20426553,98212900,47241792,29866791,16636669,478797,
22891394,117980702,61041608,38679531,20586244,657375,
17171656,87248610,45976105,29917597,14269273,176244,
15757574,74450557,44748908,29211209,13679481,221537,
12344705,56949399,33279630,21432858,10505807,84133,
12670797,59938746,39424233,25329877,12271257,166057,
16338159,75447240,42662548,27537397,13112424,417546,
11949225,54925753,33473637,21731420,10463971,84555,
12368636,56176000,31889619,20490029,9977084,63491,
7340870,34753115,19543330,12851203,5963327,237187,
4212000,15808908,8810087,6415206,2401923,636427,
7943944,27972574,15815919,11584094,4228837,818312,
7902394,28819526,14980042,11186624,3785326,677772,
1292879,4059836,3618972,3442639,170222,470860,
6159119,27689860,15519582,10145442,4720199,201456,
14525451,65450815,36097680,23295741,11285401,287478,
15551194,70215479,37746107,24157374,12083103,191309,
19968201,96232018,50304139,33291546,14543713,253434,
14747970,68059611,42324233,27582145,13364403,294700,
13706113,65062950,42123257,27251819,12665565,75320,
13156036,61545435,39487160,25659576,12039564,159570,
10791690,51349097,31424075,20267402,9861926,154461,
10833760,50865986,31702359,20640781,9845674,131256,
12489142,58212756,36494041,23211143,12003043,112157,
14526981,67826195,40221526,25490635,13621292,241628,
15658144,74104421,44241512,28070830,14863100,140665,
20990177,101891922,53024384,32940907,18731390,93051,
22593966,108365073,55474302,34366296,19610305,86672,
14387038,67715098,39935976,25427959,13152603,108526,
12802957,59844222,37443556,23870201,12296320,98809,
11250085,52133460,34374843,22361265,10624123,74221,
12031918,56258313,37194626,24012349,11558470,94193,
11011402,49736565,29373663,19144088,9024756,110127,
10702470,47284893,25056243,16377822,7817782,307971,
11239259,51209121,31018540,20241360,9576077,128310,
11123708,51539917,31953320,20586046,9956792,68715,
10926726,50046835,32624081,21260256,10261643,121400,
14185038,65612656,37389512,24159911,11883365,103663,
4725980,21674461,14872513,9713227,4619328,203234,
126423,611992,450649,313456,127458,73574,
6473,23799,16336,10054,6164,5638,
1034146,4716713,1952701,1282454,640752,39122,
3221890,15035215,10326905,6664666,3259477,69231,
8423522,39662321,25496098,16606020,8040610,121693,
3979013,18767319,11833631,7550765,3986220,325537,
179783,1530346,1626426,967233,620346,244974,
4498548,16044999,9687301,6960970,2710545,604453,
6895357,24042378,14058393,10212095,3839178,844042,
8091301,29254196,15271940,11375772,3895963,758618,
5385879,19127569,10400708,7961657,2438675,573731,
